state_id,county,policy_level,date,policy_type,start_stop
TX,Borden,county,7/3/20,Mask Requirement,start
TN,,state,3/25/20,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,start
IN,Lake,county,5/11/20,Phase 2,start
VT,,state,3/20/20,Allow Audio Only Telehealth,start
TN,Montgomery County,county,4/1/20,Shelter in Place,start
CT,,state,3/19/20,Allow Audio Only Telehealth,start
NY,,state,3/15/20,Allow Audio Only Telehealth,start
MS,Quitman,county,7/13/20,Day Care,start
KS,Coffey County,county,3/26/20,Shelter in Place,start
CO,,state,4/1/20,Allow Audio Only Telehealth,start
TX,Archer,county,7/3/20,Mask Requirement,start
NY,Bronx,county,6/8/20,Wholesale Trade,start
UT,Carbon,county,9/11/20,Day Care,start
DC,,state,4/17/20,Mandate Face Mask Use By All Individuals In Public Spaces,start
CA,,state,3/23/20,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start
ND,Walsh,county,9/3/20,Childcare (K-12),start
ND,Griggs,county,9/3/20,Outdoor and Recreation,start
DC,,state,3/19/20,Allow Audio Only Telehealth,start
TN,,state,3/30/20,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start
IN,,state,3/16/20,Food and Drink,start
NM,,state,3/11/20,State of Emergency,start
TX,Jack,county,7/3/20,Mask Requirement,start
TX,,state,3/17/20,Allow Expand Medicaid Telehealth Coverage,start
OH,Huron,county,7/8/20,Mask Requirement,start
ND,Williams,county,9/3/20,Food and Drink,start
IN,Cass,state,5/18/20,Phase 2,start
NJ,,state,4/8/20,Mandate Face Mask Use By All Individuals In Public Spaces,start
ND,Foster,county,9/3/20,Food and Drink,start
MS,Grenada,county,7/13/20,Houses of Worship,start
VA,,state,3/30/20,Shelter in Place,start
MA,,state,3/17/20,Food and Drink,start
CA,Alameda,county,6/8/20,Phase 2,start
TX,Nueces County,county,3/26/20,Shelter in Place,start
NJ,,state,3/16/20,Entertainment,start
MD,,state,3/12/20,Allow Expand Medicaid Telehealth Coverage,start
NE,Stanton,county,3/29/20,Shelter in Place,start
PA,Lackawanna,county,6/26/20,Phase 2,start
ME,Aroostook,county,5/11/20,Non-Essential Businesses,start
WI,Dane,county,6/15/20,Phase 2,start
WV,,state,3/26/20,Day Care,start
NE,Sherman,county,4/3/20,Shelter in Place,start
OK,,state,3/16/20,Allow Expand Medicaid Telehealth Coverage,start
ND,Rolette,county,9/3/20,Non-Essential Businesses,start
UT,Millard,county,6/19/20,Phase 4,start
UT,Daggett,county,6/19/20,Phase 4,start
CA,Alameda,county,6/8/20,Phase 2,start
MO,Ray County,county,3/25/20,Shelter in Place,start
TX,Presidio County,county,3/31/20,Shelter in Place,start
IL,Randolph,county,8/18/20,Food and Drink,start
MS,Hinds,county,7/13/20,Non-Essential Businesses,start
OR,Clackamas,county,5/23/20,Non-Essential Businesses,start
MS,DeSoto,county,7/13/20,Manufacturing,start
MO,Clay County,county,3/24/20,Shelter in Place,start
NV,,state,3/21/20,Non-Essential Businesses,start
NY,Kings,county,6/8/20,Wholesale Trade,start
UT,Duchesne,county,6/19/20,Phase 4,start
NE,Phelps,county,3/31/20,Shelter in Place,start
FL,Palm Beach,county,9/4/20,Phase 2,start
IL,Cook,county,3/21/20,Entertainment,start
GA,,state,4/3/20,Food and Drink,start
NC,,state,3/23/20,Allow Expand Medicaid Telehealth Coverage,start
IN,,state,3/25/20,Non-Essential Businesses,start
NY,Richmond,county,6/8/20,Manufacturing,start
PA,Bucks County,county,3/23/20,Shelter in Place,start
WI,Dane,county,5/26/20,Childcare (K-12),start
KY,,state,3/26/20,Non-Essential Businesses,start
AR,,state,5/11/20,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start
MT,,state,3/15/20,Nursing Homes,start
CO,,state,3/23/20,Childcare (K-12),start
IN,,state,3/19/20,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,start
ME,Knox,county,7/8/20,Mask Requirement,start
KS,Jefferson County,county,3/28/20,Shelter in Place,start
MI,Alger,county,7/31/20,Outdoor and Recreation,start
TX,Nacogdoches County,county,3/30/20,Shelter in Place,start
IN,,state,7/27/20,Mandate Face Mask Use By All Individuals In Public Spaces,start
PA,Luzerne,county,6/19/20,Phase 2,start
NC,,state,3/23/20,Nursing Homes,start
KY,,state,3/6/20,State of Emergency,start
OH,Union,county,7/23/20,Public Health Advisory System,start
NY,New York,county,6/8/20,Wholesale Trade,start
CO,Denver,county,6/17/20,Food and Drink,start
NH,,state,3/17/20,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,start
NY,Allegany,county,6/16/20,Food and Drink,start
PA,,state,3/20/20,Allow Expand Medicaid Telehealth Coverage,start
CO,,state,4/27/20,Resumed Elective Medical Procedures,start
IA,,state,4/2/20,Childcare (K-12),start
FL,,state,3/20/20,Food and Drink,start
NE,Lancaster,county,9/14/20,Mask Requirement,start
ND,Nelson,county,9/3/20,Non-Essential Businesses,start
ND,Burleigh,county,9/3/20,Phase 3,start
MO,Randolph County,county,3/25/20,Shelter in Place,start
MA,,state,3/24/20,Gyms,start
TX,,state,3/17/20,Allow Audio Only Telehealth,start
NY,,state,3/20/20,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,start
NY,New York,county,7/6/20,Phase 3,start
AR,,state,4/3/20,Suspended Elective Medical Dental Procedures,start
ND,Williams,county,9/3/20,Phase 3,start
FL,,state,3/20/20,Suspended Elective Medical Dental Procedures,start
ND,Grand Forks,county,9/3/20,Non-Essential Businesses,start
MD,,state,5/7/20,Resumed Elective Medical Procedures,start
FL,,state,3/17/20,Childcare (K-12),start
OR,Clackamas,county,5/23/20,Personal Care,start
TX,Stephens County,county,3/23/20,Shelter in Place,start
CA,,state,3/27/20,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,start
CT,,state,3/18/20,Allow Expand Medicaid Telehealth Coverage,start
NJ,,state,3/21/20,Non-Essential Businesses,start
MN,,state,3/20/20,Reopened ACA Enrollment Using a Special Enrollment Period,start
PA,Pike,county,6/19/20,Phase 2,start
NY,Queens,county,6/8/20,Non-Essential Businesses,start
AK,Skagway Municipality,county,3/25/20,Shelter in Place,start
ME,Franklin,county,5/18/20,Food and Drink,start
TX,Motley,county,7/3/20,Mask Requirement,start
NC,,state,3/23/20,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start
DE,,state,3/24/20,Order Freezing Utility Shut Offs,start
NE,Furnas,county,4/3/20,Shelter in Place,start
UT,Carbon,county,9/11/20,Non-Essential Businesses,start
MS,Hinds,county,7/13/20,Entertainment,start
